epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,19012.9,2.01048,1.65732,2.32012,0.79975,0.7562,0.83502,0.6863,1.53377,1.42182,2.20371,0.0047035,0.0047035,0.0047035
109,19188.7,1.99002,1.62637,2.3107,0.80224,0.75549,0.83504,0.6862,1.53305,1.41944,2.20372,0.004654,0.004654,0.004654
110,19364.3,2.01809,1.65192,2.32489,0.80211,0.75658,0.83528,0.68629,1.53299,1.41846,2.2032,0.0046045,0.0046045,0.0046045
111,19539.8,1.99409,1.63002,2.31185,0.80104,0.75641,0.83513,0.6867,1.53292,1.41965,2.20289,0.004555,0.004555,0.004555
112,19715.5,2.00286,1.63037,2.31508,0.79464,0.76475,0.83534,0.6865,1.5338,1.41889,2.20317,0.0045055,0.0045055,0.0045055
113,19891.6,1.97968,1.61585,2.30437,0.80167,0.75579,0.83555,0.68674,1.53272,1.41833,2.2031,0.004456,0.004456,0.004456
114,20067.5,1.9667,1.61264,2.30463,0.801,0.7555,0.83522,0.68596,1.53263,1.41926,2.20418,0.0044065,0.0044065,0.0044065
115,20243.1,1.98872,1.63053,2.30788,0.80209,0.75433,0.83593,0.68604,1.53252,1.41677,2.20442,0.004357,0.004357,0.004357
116,20419,1.98357,1.62057,2.30658,0.80366,0.75378,0.83553,0.68573,1.53191,1.41774,2.2035,0.0043075,0.0043075,0.0043075
117,20594.7,1.98531,1.61133,2.30282,0.80811,0.75287,0.83654,0.68688,1.53195,1.41691,2.20323,0.004258,0.004258,0.004258
118,20770.3,1.96493,1.58405,2.30262,0.80559,0.75272,0.83582,0.68641,1.53168,1.41804,2.20339,0.0042085,0.0042085,0.0042085
119,20945.9,1.98035,1.60718,2.30494,0.80596,0.75391,0.83593,0.68643,1.53027,1.42003,2.20305,0.004159,0.004159,0.004159
120,21121.7,1.97178,1.59847,2.2946,0.80717,0.75165,0.83575,0.68619,1.53014,1.42034,2.20293,0.0041095,0.0041095,0.0041095
121,21297.4,1.96052,1.58024,2.29199,0.80298,0.75579,0.83589,0.68666,1.5302,1.41863,2.20254,0.00406,0.00406,0.00406
122,21473.2,1.96501,1.59331,2.29958,0.80101,0.756,0.83557,0.68705,1.52984,1.41927,2.20314,0.0040105,0.0040105,0.0040105
123,21649,1.95946,1.58901,2.29605,0.79851,0.75953,0.83567,0.68664,1.52902,1.4205,2.20323,0.003961,0.003961,0.003961
124,21824.8,1.96141,1.57672,2.29468,0.79554,0.76121,0.83508,0.68605,1.52866,1.42435,2.2029,0.0039115,0.0039115,0.0039115
125,22000.5,1.95129,1.58332,2.28295,0.79946,0.75871,0.83568,0.68669,1.52867,1.42261,2.20216,0.003862,0.003862,0.003862
126,22176.3,1.96423,1.56632,2.28939,0.8008,0.75746,0.83569,0.68635,1.52905,1.42123,2.20245,0.0038125,0.0038125,0.0038125
127,22351.9,1.9671,1.55328,2.28485,0.81075,0.75224,0.83539,0.68609,1.52931,1.4213,2.20191,0.003763,0.003763,0.003763
128,22527.5,1.94129,1.55849,2.28139,0.80361,0.75725,0.83529,0.68576,1.52961,1.42185,2.20244,0.0037135,0.0037135,0.0037135
129,22703,1.95607,1.54959,2.28374,0.81076,0.75054,0.83529,0.68596,1.5291,1.4238,2.202,0.003664,0.003664,0.003664
130,22878.8,1.9442,1.54046,2.28133,0.80698,0.75516,0.83577,0.68616,1.52899,1.42286,2.20191,0.0036145,0.0036145,0.0036145
131,23054.5,1.9617,1.56583,2.28522,0.80679,0.75245,0.83507,0.68499,1.52993,1.42322,2.20248,0.003565,0.003565,0.003565
132,23230.2,1.94378,1.53665,2.26972,0.80013,0.75933,0.83516,0.68602,1.53065,1.42036,2.20295,0.0035155,0.0035155,0.0035155
133,23406,1.93907,1.53568,2.27842,0.80456,0.75474,0.83553,0.68589,1.53023,1.42054,2.20253,0.003466,0.003466,0.003466
134,23581.7,1.94488,1.54259,2.27253,0.80441,0.75495,0.83582,0.68678,1.53047,1.41928,2.20324,0.0034165,0.0034165,0.0034165
135,23757.3,1.92991,1.52436,2.26828,0.80409,0.75583,0.83552,0.68647,1.53048,1.4205,2.20309,0.003367,0.003367,0.003367
136,23933.1,1.93375,1.51613,2.26834,0.80512,0.75477,0.83497,0.6861,1.53019,1.42192,2.20285,0.0033175,0.0033175,0.0033175
137,24108.8,1.91711,1.51619,2.25752,0.79896,0.75704,0.83541,0.68679,1.5297,1.42209,2.20275,0.003268,0.003268,0.003268
138,24284.4,1.90964,1.49796,2.26029,0.80358,0.75433,0.83521,0.68678,1.53036,1.42246,2.20292,0.0032185,0.0032185,0.0032185
139,24460,1.91263,1.51454,2.26048,0.80116,0.75458,0.83478,0.68633,1.5302,1.42293,2.20303,0.003169,0.003169,0.003169
140,24635.8,1.90942,1.51983,2.26358,0.80158,0.75495,0.83433,0.68572,1.52962,1.42447,2.20216,0.0031195,0.0031195,0.0031195
141,24811.3,1.92109,1.49679,2.25587,0.80162,0.75516,0.83437,0.68546,1.53008,1.42407,2.20222,0.00307,0.00307,0.00307
142,24987,1.90176,1.49595,2.25893,0.80509,0.75203,0.83424,0.68535,1.53114,1.42415,2.2039,0.0030205,0.0030205,0.0030205
143,25162.5,1.90189,1.49141,2.2556,0.80868,0.74557,0.83405,0.68522,1.53043,1.42481,2.20343,0.002971,0.002971,0.002971
144,25338.3,1.90341,1.49208,2.25073,0.81082,0.74549,0.8339,0.68518,1.53071,1.42564,2.20314,0.0029215,0.0029215,0.0029215
145,25513.9,1.88578,1.47233,2.24524,0.81065,0.74465,0.83365,0.68548,1.53036,1.42628,2.20317,0.002872,0.002872,0.002872
146,25689.7,1.89893,1.46462,2.24633,0.80876,0.74682,0.83378,0.68592,1.52994,1.42638,2.20286,0.0028225,0.0028225,0.0028225
147,25865.5,1.90365,1.46291,2.24885,0.80807,0.7516,0.83401,0.68632,1.52983,1.42789,2.20306,0.002773,0.002773,0.002773
148,26041.3,1.88265,1.45538,2.24283,0.8063,0.75349,0.83354,0.68556,1.53095,1.42693,2.20332,0.0027235,0.0027235,0.0027235
149,26216.8,1.88676,1.46314,2.24313,0.80598,0.7537,0.83381,0.68557,1.53137,1.42661,2.20267,0.002674,0.002674,0.002674
150,26392.5,1.86992,1.46761,2.23437,0.80751,0.75057,0.83453,0.6859,1.5322,1.42557,2.20334,0.0026245,0.0026245,0.0026245
151,26568.3,1.8853,1.45096,2.23402,0.80853,0.74828,0.83425,0.68542,1.53173,1.42724,2.20358,0.002575,0.002575,0.002575
152,26744.1,1.87071,1.44696,2.23264,0.8079,0.7499,0.83401,0.68516,1.53202,1.42732,2.20473,0.0025255,0.0025255,0.0025255
153,26919.9,1.87327,1.44523,2.23126,0.8108,0.74953,0.83406,0.68514,1.53245,1.42646,2.20541,0.002476,0.002476,0.002476
154,27096,1.87932,1.43848,2.22331,0.81172,0.74714,0.83429,0.68509,1.53162,1.4278,2.20359,0.0024265,0.0024265,0.0024265
155,27271.5,1.85109,1.43208,2.22475,0.80999,0.74911,0.83421,0.68516,1.53195,1.42693,2.20427,0.002377,0.002377,0.002377
