epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1384.91,0.74744,0.67898,1.05046,0.88133,0.82921,0.88793,0.76003,0.64435,0.65196,1.09914,0.0013862,0.0013862,0.0013862
64,1406.84,0.74891,0.67953,1.04768,0.85145,0.87129,0.90377,0.77258,0.63146,0.61766,1.08963,0.0013763,0.0013763,0.0013763
65,1428.7,0.74574,0.67611,1.02962,0.81118,0.89356,0.9055,0.77756,0.68727,0.65448,1.1264,0.0013664,0.0013664,0.0013664
66,1450.58,0.74599,0.66043,1.03287,0.86985,0.81931,0.91543,0.79024,0.61114,0.62914,1.06645,0.0013565,0.0013565,0.0013565
67,1472.53,0.72496,0.66791,1.02178,0.85731,0.86139,0.91431,0.78335,0.61885,0.58036,1.09111,0.0013466,0.0013466,0.0013466
68,1494.43,0.7326,0.65709,1.02692,0.86495,0.81683,0.88719,0.75925,0.63383,0.64917,1.09569,0.0013367,0.0013367,0.0013367
69,1516.34,0.72835,0.64906,1.02977,0.85678,0.85884,0.90694,0.78031,0.61225,0.6131,1.07933,0.0013268,0.0013268,0.0013268
70,1538.2,0.71611,0.65234,1.03106,0.84942,0.86569,0.91822,0.79226,0.62801,0.60851,1.10001,0.0013169,0.0013169,0.0013169
71,1560.12,0.74403,0.6761,1.04291,0.89554,0.82764,0.9178,0.80189,0.58089,0.57138,1.05236,0.001307,0.001307,0.001307
72,1582.15,0.72119,0.63595,1.03334,0.92057,0.80329,0.91562,0.79419,0.60184,0.59633,1.06801,0.0012971,0.0012971,0.0012971
73,1604.01,0.73021,0.63973,1.01561,0.88532,0.81683,0.91049,0.79426,0.59343,0.58635,1.06064,0.0012872,0.0012872,0.0012872
74,1625.92,0.70109,0.62059,1.0207,0.88635,0.8108,0.90864,0.79279,0.58635,0.60337,1.05247,0.0012773,0.0012773,0.0012773
75,1647.75,0.72279,0.64005,1.02281,0.92928,0.81311,0.91471,0.79984,0.59802,0.58748,1.06741,0.0012674,0.0012674,0.0012674
76,1669.63,0.69865,0.62619,1.02192,0.89311,0.83168,0.91706,0.80189,0.59412,0.56738,1.06666,0.0012575,0.0012575,0.0012575
77,1691.55,0.71339,0.62206,1.01978,0.85131,0.8645,0.91763,0.79698,0.59959,0.6086,1.06786,0.0012476,0.0012476,0.0012476
78,1713.44,0.6901,0.61802,1.0165,0.88627,0.82673,0.91059,0.79314,0.6045,0.60345,1.07104,0.0012377,0.0012377,0.0012377
79,1735.34,0.6857,0.59258,0.99371,0.8698,0.84653,0.90494,0.78853,0.59205,0.6268,1.06164,0.0012278,0.0012278,0.0012278
